ITEM_ID,ITEM_NAME,ITEM_LONG_DESC,DISC_CD,UNIT_PRICE,UNIT_COST,SUBCAT_ID,SUPPLIER_ID,BRAND_ID
90,Self-Management and Efficiency,Self-Management and Efficiency: Large Corporations in Yugoslavia,12090,25,19,12,109,174
91,Harman Kardon Digital Surround Sound Receiver,Digital Surround Sound Receiver,21091,1000,739,21,202,203
92,Harman Kardon AM/FM Stereo Receiver,HK3370 AM/FM Stereo Receiver,21092,500,373,21,202,203
93,Harman Kardon Dolby Digital Receiver,AVR45 Dolby Digital Receiver,21093,700,518,21,202,203
94,GPX Portable CD Player with Bass Boost,Portable CD Player with Bass Boost,21094,30,22,21,203,202
95,GPX Portable CD Player with Car Kit,Portable Compact Disc Player with Car Kit,21095,50,38,21,203,202
96,GPX CD AM/FM Cassette Recorder Karaoke Machine,CD AM/FM Cassette Recorder Karaoke Machine,21096,100,71,21,203,202
97,Panasonic Portable CD Player,SL-S360 Portable CD Player,21097,80,59,21,203,210
98,Pioneer 25-Disc Changer with Remote Control,25-Disc Changer with Remote Control,21098,130,92,21,203,211
99,"Pioneer CD Recordable, Digital Synchro Recording","CD Recordable, Digital Synchro Recording",21099,500,370,21,203,211
100,Pioneer Dolby Pro Logic Receiver,VSXD488 Dolby Pro Logic Receiver,21100,350,246,21,203,211
101,RCA CD Changer,RP8065 CD Changer,21101,90,67,21,203,213
102,Sony Discman,Discman D-E441 with ESP2,21102,80,59,21,203,215
103,Sony Boombox with Digital Tuner,Boombox with Digital Tuner,21103,130,97,21,203,215
104,Sony Digital MiniDisc,Digital MiniDisc/CD/AM/FM Stereo System,21104,600,445,21,203,215
105,Sony 100-Watt Receiver,STR-DE835 100-Watt Receiver,21105,400,288,21,203,215
106,Hitachi Hi8 Camcorder,650A Hi8 Camcorder,22106,400,286,22,201,205
107,Hitachi DVD Camcorder,"DVD Camcorder with 3.5"" Color LCD and Photo Mode",22107,600,449,22,201,205
108,Minolta Freedom Zoom Supreme EX Camera,Freedom Zoom Supreme EX Camera,22108,230,162,22,201,207
109,Minolta Maxxum Camera,Maxxum HTsi Plus SLR Camera,22109,400,282,22,201,207
110,Minolta Freedom Zoom Explorer Camera,Freedom Zoom Explorer Camera,22110,180,133,22,201,207
111,Minolta Vectis Beam Camera,Vectis 300 Beam Camera,22111,300,224,22,201,207
1,The Art of Bev Doolittle,The Art of Bev Doolittle,11001,46,32,11,101,127
2,Art As Experience,Art As Experience,11002,11,8,11,101,146
3,The Painted Word,The Painted Word,11003,6,5,11,101,180
4,Hirschfeld on Line,Hirschfeld on Line,11004,35,25,11,102,101
5,Adirondack Style,Adirondack Style,11005,27,19,11,102,105
6,"Architecture : Form, Space, & Order","Architecture : Form, Space, & Order",11006,28,20,11,102,131
7,50 Favorite Rooms,50 Favorite Rooms,11007,18,13,11,102,132
8,500 Best Vacation Home Plans,500 Best Vacation Home Plans,11008,8,6,11,102,139
9,Blue & White Living,Blue & White Living,11009,11,8,11,102,172
10,Ways of Seeing,Ways of Seeing,11010,11,8,11,106,145
11,"Gonzo, the Art","Gonzo, the Art",11011,28,21,11,106,167
12,Cabin Fever : Rustic Style Comes Home,Cabin Fever : Rustic Style Comes Home,11012,8,6,11,107,166
13,American Bungalow Style,American Bungalow Style,11013,28,20,11,107,169
14,Building With Stone,Building With Stone,11014,15,11,11,109,115
15,Voyaging Under Power,Voyaging Under Power,11015,9,7,11,109,170
16,Working With Emotional Intelligence,Working With Emotional Intelligence,12016,19,14,12,101,119
17,Attention to Detail,Attention to Detail,12017,11,8,12,102,117
18,The 48 Laws of Power,The 48 Laws of Power,12018,18,13,12,102,150
